program,input,execution,time_ms
matrixMul.exe,binomial,1,161
matrixMul.exe,binomial,2,161
matrixMul.exe,binomial,3,161
matrixMul.exe,binomial,4,161
matrixMul.exe,binomial,5,161
matrixMul.exe,binomial,6,161
matrixMul.exe,binomial,7,161
matrixMul.exe,binomial,8,161
matrixMul.exe,binomial,9,161
matrixMul.exe,binomial,10,161
matrixMul.exe,random1250,1,317
matrixMul.exe,random1250,2,317
matrixMul.exe,random1250,3,317
matrixMul.exe,random1250,4,316
matrixMul.exe,random1250,5,316
matrixMul.exe,random1250,6,316
matrixMul.exe,random1250,8,317
matrixMul.exe,random1250,9,317
matrixMul.exe,random1250,10,317
matrixMul.exe,random250,1,316
matrixMul.exe,random250,2,316
matrixMul.exe,random250,3,316
matrixMul.exe,random250,4,316
matrixMul.exe,random250,5,316
matrixMul.exe,random250,6,316
matrixMul.exe,random250,7,316
matrixMul.exe,random250,8,316
matrixMul.exe,random250,9,316
matrixMul.exe,random250,10,316
