program,input,execution,time_ms
bfs.exe,binomial,1,9.000000
bfs.exe,binomial,2,8.000000
bfs.exe,binomial,3,9.000000
bfs.exe,binomial,4,9.000000
bfs.exe,binomial,5,9.000000
bfs.exe,binomial,6,10.000000
bfs.exe,binomial,7,10.000000
bfs.exe,binomial,8,9.000000
bfs.exe,binomial,9,9.000000
bfs.exe,binomial,10,9.000000
bfs.exe,binomial,11,10.000000
bfs.exe,binomial,12,9.000000
bfs.exe,binomial,13,12.000000
bfs.exe,binomial,14,9.000000
bfs.exe,binomial,15,9.000000
bfs.exe,complete,1,23.000000
bfs.exe,complete,2,24.000000
bfs.exe,complete,3,24.000000
bfs.exe,complete,4,26.000000
bfs.exe,complete,5,24.000000
bfs.exe,complete,6,24.000000
bfs.exe,complete,7,24.000000
bfs.exe,complete,8,24.000000
bfs.exe,complete,9,24.000000
bfs.exe,complete,10,24.000000
bfs.exe,complete,11,28.000000
bfs.exe,complete,12,28.000000
bfs.exe,complete,13,23.000000
bfs.exe,complete,14,31.000000
bfs.exe,complete,15,26.000000
bfs.exe,random1250,1,46.000000
bfs.exe,random1250,2,47.000000
bfs.exe,random1250,3,47.000000
bfs.exe,random1250,4,45.000000
bfs.exe,random1250,5,46.000000
bfs.exe,random1250,6,44.000000
bfs.exe,random1250,7,47.000000
bfs.exe,random1250,8,45.000000
bfs.exe,random1250,9,47.000000
bfs.exe,random1250,10,45.000000
bfs.exe,random1250,11,46.000000
bfs.exe,random1250,12,61.000000
bfs.exe,random1250,13,59.000000
bfs.exe,random1250,14,61.000000
bfs.exe,random1250,15,50.000000
bfs.exe,random250,1,23.000000
bfs.exe,random250,2,17.000000
bfs.exe,random250,3,19.000000
bfs.exe,random250,4,21.000000
bfs.exe,random250,5,19.000000
bfs.exe,random250,6,17.000000
bfs.exe,random250,7,24.000000
bfs.exe,random250,8,17.000000
bfs.exe,random250,9,18.000000
bfs.exe,random250,10,17.000000
bfs.exe,random250,11,19.000000
bfs.exe,random250,12,21.000000
bfs.exe,random250,13,16.000000
bfs.exe,random250,14,16.000000
bfs.exe,random250,15,19.000000
