program,input,execution,time_ms
matrixMul.exe,binomial,1,2930200
matrixMul.exe,binomial,2,3559900
matrixMul.exe,binomial,3,3398800
matrixMul.exe,binomial,4,2876000
matrixMul.exe,binomial,5,3004600
matrixMul.exe,binomial,6,2806100
matrixMul.exe,binomial,7,2895700
matrixMul.exe,binomial,8,3492300
matrixMul.exe,binomial,9,4136100
matrixMul.exe,binomial,10,4550300
matrixMul.exe,binomial,11,3081800
matrixMul.exe,binomial,12,4411700
matrixMul.exe,binomial,13,4805200
matrixMul.exe,binomial,14,2836400
matrixMul.exe,binomial,15,3392100
matrixMul.exe,complete,1,2811600
matrixMul.exe,complete,2,3163300
matrixMul.exe,complete,3,2952800
matrixMul.exe,complete,4,3208900
matrixMul.exe,complete,5,2797900
matrixMul.exe,complete,6,3002300
matrixMul.exe,complete,7,2945900
matrixMul.exe,complete,8,4084800
matrixMul.exe,complete,9,3242400
matrixMul.exe,complete,10,3703500
matrixMul.exe,complete,11,3079600
matrixMul.exe,complete,12,2829300
matrixMul.exe,complete,13,2810700
matrixMul.exe,complete,14,3079400
matrixMul.exe,complete,15,4376100
matrixMul.exe,random1250,1,3959000
matrixMul.exe,random1250,2,3391700
matrixMul.exe,random1250,3,3438400
matrixMul.exe,random1250,4,2983300
matrixMul.exe,random1250,5,3057300
matrixMul.exe,random1250,6,2925700
matrixMul.exe,random1250,7,2869500
matrixMul.exe,random1250,8,4546300
matrixMul.exe,random1250,9,2902800
matrixMul.exe,random1250,10,2990100
matrixMul.exe,random1250,11,3180100
matrixMul.exe,random1250,12,2911200
matrixMul.exe,random1250,13,2987900
matrixMul.exe,random1250,14,4613500
matrixMul.exe,random1250,15,4844300
matrixMul.exe,random250,1,2788100
matrixMul.exe,random250,2,2809000
matrixMul.exe,random250,3,3120800
matrixMul.exe,random250,4,3640100
matrixMul.exe,random250,5,3733700
matrixMul.exe,random250,6,2901100
matrixMul.exe,random250,7,4955100
matrixMul.exe,random250,8,4397200
matrixMul.exe,random250,9,2802200
matrixMul.exe,random250,10,3311300
matrixMul.exe,random250,11,4824700
matrixMul.exe,random250,12,3197000
matrixMul.exe,random250,13,2987600
matrixMul.exe,random250,14,4511200
matrixMul.exe,random250,15,2963700
