program,input,execution,time_ms
bfs.exe,binomial,1,0.008000
bfs.exe,binomial,2,0.010000
bfs.exe,binomial,3,0.009000
bfs.exe,binomial,4,0.009000
bfs.exe,binomial,5,0.009000
bfs.exe,binomial,6,0.010000
bfs.exe,binomial,7,0.011000
bfs.exe,binomial,8,0.009000
bfs.exe,binomial,9,0.010000
bfs.exe,binomial,10,0.016000
bfs.exe,binomial,11,0.010000
bfs.exe,binomial,12,0.009000
bfs.exe,binomial,13,0.011000
bfs.exe,binomial,14,0.009000
bfs.exe,binomial,15,0.016000
bfs.exe,random1250,1,0.041000
bfs.exe,random1250,2,0.044000
bfs.exe,random1250,3,0.041000
bfs.exe,random1250,4,0.041000
bfs.exe,random1250,5,0.040000
bfs.exe,random1250,6,0.042000
bfs.exe,random1250,7,0.039000
bfs.exe,random1250,8,0.041000
bfs.exe,random1250,9,0.041000
bfs.exe,random1250,10,0.040000
bfs.exe,random1250,11,0.041000
bfs.exe,random1250,12,0.043000
bfs.exe,random1250,13,0.040000
bfs.exe,random1250,14,0.043000
bfs.exe,random1250,15,0.040000
bfs.exe,random250,1,0.015000
bfs.exe,random250,2,0.015000
bfs.exe,random250,3,0.016000
bfs.exe,random250,4,0.015000
bfs.exe,random250,5,0.015000
bfs.exe,random250,6,0.016000
bfs.exe,random250,7,0.015000
bfs.exe,random250,8,0.015000
bfs.exe,random250,9,0.015000
bfs.exe,random250,10,0.016000
bfs.exe,random250,11,0.015000
bfs.exe,random250,12,0.016000
bfs.exe,random250,13,0.015000
bfs.exe,random250,14,0.016000
bfs.exe,random250,15,0.016000
