program,input,execution,time_ms
floyd.exe,binomial,1,45.788000
floyd.exe,binomial,2,45.241000
floyd.exe,binomial,3,45.301000
floyd.exe,binomial,4,45.956000
floyd.exe,binomial,5,45.183000
floyd.exe,binomial,6,45.739000
floyd.exe,binomial,7,45.583000
floyd.exe,binomial,8,45.517000
floyd.exe,binomial,9,46.019000
floyd.exe,binomial,10,45.463000
floyd.exe,binomial,11,45.614000
floyd.exe,binomial,12,45.655000
floyd.exe,binomial,13,45.643000
floyd.exe,binomial,14,45.552000
floyd.exe,binomial,15,45.673000
floyd.exe,random1250,1,87.548000
floyd.exe,random1250,2,87.421000
floyd.exe,random1250,3,87.820000
floyd.exe,random1250,4,87.461000
floyd.exe,random1250,5,87.520000
floyd.exe,random1250,6,87.426000
floyd.exe,random1250,7,87.735000
floyd.exe,random1250,8,88.176000
floyd.exe,random1250,9,86.940000
floyd.exe,random1250,10,88.102000
floyd.exe,random1250,11,87.106000
floyd.exe,random1250,12,87.077000
floyd.exe,random1250,13,87.199000
floyd.exe,random1250,14,87.200000
floyd.exe,random1250,15,87.389000
floyd.exe,random250,1,87.068000
floyd.exe,random250,2,96.316000
floyd.exe,random250,3,86.642000
floyd.exe,random250,4,86.904000
floyd.exe,random250,5,86.851000
floyd.exe,random250,6,85.957000
floyd.exe,random250,7,90.167000
floyd.exe,random250,8,93.848000
floyd.exe,random250,9,94.803000
floyd.exe,random250,10,96.675000
floyd.exe,random250,11,92.733000
floyd.exe,random250,12,93.640000
floyd.exe,random250,13,96.948000
floyd.exe,random250,14,96.655000
floyd.exe,random250,15,94.894000
