program,input,execution,time_ms
floyd.exe,complete,1,86.871000
floyd.exe,complete,2,96.191000
floyd.exe,complete,3,95.479000
floyd.exe,complete,4,96.676000
floyd.exe,complete,5,97.880000
floyd.exe,complete,6,93.190000
floyd.exe,complete,7,96.536000
floyd.exe,complete,8,92.571000
floyd.exe,complete,9,89.960000
floyd.exe,complete,10,88.262000
floyd.exe,complete,11,88.942000
floyd.exe,complete,12,88.963000
floyd.exe,complete,13,89.464000
floyd.exe,complete,14,91.624000
floyd.exe,complete,15,89.273000
